"Year","Month","Month Name","State","City","Store name","Lines","Category","Sales revenue","Quantity sold","Margin"
"2014","1","January","California","Los Angeles","e-Fashion Los Angeles","Sweat-T-Shirts","T-Shirts","27004","166","13153.9"
"2014","1","January","California","Los Angeles","e-Fashion Los Angeles","Trousers","Jeans","2005.1","11","831"
"2014","1","January","California","San Francisco","e-Fashion San Francisco","Accessories","Belts,bags,wallets","6765.7","54","2465.6"
"2014","1","January","California","San Francisco","e-Fashion San Francisco","Accessories","Hair accessories","2189.4","10","783.5"
"2014","1","January","California","San Francisco","e-Fashion San Francisco","Accessories","Hats,gloves,scarves","5941.4","42","2668.5"
"2014","1","January","California","San Francisco","e-Fashion San Francisco","Accessories","Jewelry","9393.8","65","4093.2"
"2014","1","January","California","San Francisco","e-Fashion San Francisco","Accessories","Lounge wear","90.7","1","41.2"
"2014","1","January","California","San Francisco","e-Fashion San Francisco","City Skirts","Full length","775","4","340.1"
"2014","1","January","California","San Francisco","e-Fashion San Francisco","City Trousers","Bermudas","118.2","1","19.2"
"2014","1","January","California","San Francisco","e-Fashion San Francisco","City Trousers","Long lounge pants","236.3","2","70.7"
"2014","1","January","California","San Francisco","e-Fashion San Francisco","Dresses","Casual dresses","1001.7","7","260.7"
"2014","1","January","California","San Francisco","e-Fashion San Francisco","Dresses","Evening wear","5949.5","46","2856.8"
"2014","1","January","California","San Francisco","e-Fashion San Francisco","Dresses","Sweater dresses","1152.4","12","235.9"
"2014","1","January","California","San Francisco","e-Fashion San Francisco","Jackets","Boatwear","682.5","5","314.1"
"2014","1","January","California","San Francisco","e-Fashion San Francisco","Jackets","Fancy fabric","136.5","1","66"
"2014","1","January","California","San Francisco","e-Fashion San Francisco","Jackets","Outdoor","655.4","5","171.1"
"2014","1","January","California","San Francisco","e-Fashion San Francisco","Leather","Pants","182.3","1","103.7"
"2014","1","January","California","San Francisco","e-Fashion San Francisco","Leather","Shirts","1740.4","10","660.3"
"2014","1","January","California","San Francisco","e-Fashion San Francisco","Overcoats","Dry wear","136.5","1","35"
"2014","1","January","California","San Francisco","e-Fashion San Francisco","Overcoats","Wet wear","446.1","3","149"
"2014","1","January","California","San Francisco","e-Fashion San Francisco","Shirt Waist","2 Pocket shirts","2023.5","11","813.9"
"2014","1","January","California","San Francisco","e-Fashion San Francisco","Shirt Waist","Long sleeve","3526.7","20","1690.2"
"2014","1","January","California","San Francisco","e-Fashion San Francisco","Shirt Waist","Short sleeve","6633.7","38","3488.6"
"2014","1","January","California","San Francisco","e-Fashion San Francisco","Sweaters","Cardigan","2733.6","16","1257.7"
"2014","1","January","California","San Francisco","e-Fashion San Francisco","Sweaters","Turtleneck","1184.5","7","296.8"
"2014","1","January","California","San Francisco","e-Fashion San Francisco","Sweat-T-Shirts","Sweats","410.4","2","236.4"
"2014","1","January","California","San Francisco","e-Fashion San Francisco","Sweat-T-Shirts","T-Shirts","22067.1","140","10874"
"2014","1","January","California","San Francisco","e-Fashion San Francisco","Trousers","Jeans","957.3","5","427.4"
"2014","1","January","Colorado","Colorado Springs","e-Fashion Colorado Springs","Accessories","Belts,bags,wallets","5121.5","41","1965.3"
"2014","1","January","Colorado","Colorado Springs","e-Fashion Colorado Springs","Accessories","Hair accessories","775","4","290.1"
"2014","1","January","Colorado","Colorado Springs","e-Fashion Colorado Springs","Accessories","Hats,gloves,scarves","6330.2","49","2699.8"
"2014","1","January","Colorado","Colorado Springs","e-Fashion Colorado Springs","Accessories","Jewelry","4830.1","37","2182.5"
"2014","1","January","Colorado","Colorado Springs","e-Fashion Colorado Springs","Accessories","Lounge wear","572.6","5","162.6"
"2014","1","January","Colorado","Colorado Springs","e-Fashion Colorado Springs","City Trousers","Bermudas","154.8","1","55.2"
"2014","1","January","Colorado","Colorado Springs","e-Fashion Colorado Springs","City Trousers","Long lounge pants","118.2","1","28.4"
"2014","1","January","Colorado","Colorado Springs","e-Fashion Colorado Springs","Dresses","Casual dresses","118.2","1","2.6"
"2014","1","January","Colorado","Colorado Springs","e-Fashion Colorado Springs","Dresses","Evening wear","4843.8","38","2283.8"
"2014","1","January","Colorado","Colorado Springs","e-Fashion Colorado Springs","Dresses","Sweater dresses","725.5","8","114.8"
"2014","1","January","Colorado","Colorado Springs","e-Fashion Colorado Springs","Jackets","Outdoor","154.8","1","62.4"
"2014","1","January","Colorado","Colorado Springs","e-Fashion Colorado Springs","Leather","Jackets","509.3","4","145"
"2014","1","January","Colorado","Colorado Springs","e-Fashion Colorado Springs","Outerwear","Hats,gloves,scarves","90.7","1","35.5"
"2014","1","January","Colorado","Colorado Springs","e-Fashion Colorado Springs","Outerwear","Night wear","182.3","1","58"
"2014","1","January","Colorado","Colorado Springs","e-Fashion Colorado Springs","Overcoats","Dry wear","518.5","4","126.1"
"2014","1","January","Colorado","Colorado Springs","e-Fashion Colorado Springs","Overcoats","Wet wear","637.6","4","224.9"
"2014","1","January","Colorado","Colorado Springs","e-Fashion Colorado Springs","Shirt Waist","2 Pocket shirts","364.6","2","161.2"
"2014","1","January","Colorado","Colorado Springs","e-Fashion Colorado Springs","Shirt Waist","Long sleeve","2698.4","24","1122.5"
"2014","1","January","Colorado","Colorado Springs","e-Fashion Colorado Springs","Shirt Waist","Short sleeve","1775.4","12","720.7"
"2014","1","January","Colorado","Colorado Springs","e-Fashion Colorado Springs","Sweaters","Cardigan","2118","16","653"
"2014","1","January","Colorado","Colorado Springs","e-Fashion Colorado Springs","Sweaters","Soft fabric","337.1","2","161.7"
"2014","1","January","Colorado","Colorado Springs","e-Fashion Colorado Springs","Sweaters","Turtleneck","118.2","1","31.2"
"2014","1","January","Colorado","Colorado Springs","e-Fashion Colorado Springs","Sweat-T-Shirts","T-Shirts","7680.5","47","3680.3"
"2014","1","January","Colorado","Colorado Springs","e-Fashion Colorado Springs","Trousers","Jeans","729.2","4","298.6"
"2014","1","January","Colorado","Colorado Springs","e-Fashion Colorado Springs","Trousers","Party pants","182.3","1","101.6"
"2014","1","January","DC","Washington","e-Fashion Washington Tolbooth","Accessories","Belts,bags,wallets","10311.7","83","3844.4"
"2014","1","January","DC","Washington","e-Fashion Washington Tolbooth","Accessories","Hair accessories","1778.1","9","608.2"
"2014","1","January","DC","Washington","e-Fashion Washington Tolbooth","Accessories","Hats,gloves,scarves","8563","58","3688.1"
"2014","1","January","DC","Washington","e-Fashion Washington Tolbooth","Accessories","Jewelry","11093.1","93","3716.2"
"2014","1","January","DC","Washington","e-Fashion Washington Tolbooth","Accessories","Lounge wear","90.7","1","41.1"
"2014","1","January","DC","Washington","e-Fashion Washington Tolbooth","City Skirts","Full length","182.3","1","84.9"
"2014","1","January","DC","Washington","e-Fashion Washington Tolbooth","City Skirts","Mini city","123.7","1","47.4"
"2014","1","January","DC","Washington","e-Fashion Washington Tolbooth","City Trousers","Bermudas","309.6","2","110.2"
"2014","1","January","DC","Washington","e-Fashion Washington Tolbooth","City Trousers","Long lounge pants","273","2","107.9"
"2014","1","January","DC","Washington","e-Fashion Washington Tolbooth","Dresses","Casual dresses","992.6","9","-38.4"
"2014","1","January","DC","Washington","e-Fashion Washington Tolbooth","Dresses","Evening wear","4331.7","35","1990.9"
"2014","1","January","DC","Washington","e-Fashion Washington Tolbooth","Dresses","Sweater dresses","1813.8","20","288.7"
"2014","1","January","DC","Washington","e-Fashion Washington Tolbooth","Jackets","Fancy fabric","364.6","2","179.8"
"2014","1","January","DC","Washington","e-Fashion Washington Tolbooth","Jackets","Outdoor","164.9","1","64.2"
"2014","1","January","DC","Washington","e-Fashion Washington Tolbooth","Leather","Shirts","491.9","3","168.7"
"2014","1","January","DC","Washington","e-Fashion Washington Tolbooth","Outerwear","Night wear","182.3","1","63.8"
"2014","1","January","DC","Washington","e-Fashion Washington Tolbooth","Overcoats","Dry wear","691.6","5","185.2"
"2014","1","January","DC","Washington","e-Fashion Washington Tolbooth","Overcoats","Wet wear","1384.1","9","535.8"
"2014","1","January","DC","Washington","e-Fashion Washington Tolbooth","Shirt Waist","2 Pocket shirts","410.4","2","207.2"
"2014","1","January","DC","Washington","e-Fashion Washington Tolbooth","Shirt Waist","Long sleeve","4269.6","30","2005.9"
"2014","1","January","DC","Washington","e-Fashion Washington Tolbooth","Shirt Waist","Short sleeve","3080.6","20","1477.2"
"2014","1","January","DC","Washington","e-Fashion Washington Tolbooth","Sweaters","Cardigan","2436.8","20","618.1"
"2014","1","January","DC","Washington","e-Fashion Washington Tolbooth","Sweaters","Soft fabric","464.4","3","209.8"
"2014","1","January","DC","Washington","e-Fashion Washington Tolbooth","Sweaters","Turtleneck","1882.4","10","623.3"
"2014","1","January","DC","Washington","e-Fashion Washington Tolbooth","Sweat-T-Shirts","T-Shirts","17486.2","116","8262.2"
"2014","1","January","DC","Washington","e-Fashion Washington Tolbooth","Trousers","Jeans","674.2","4","242"
"2014","1","January","DC","Washington","e-Fashion Washington Tolbooth","Trousers","Party pants","273","2","125"
"2014","1","January","Florida","Miami","e-Fashion Miami Sundance","Accessories","Belts,bags,wallets","6367.8","48","2616.9"
"2014","1","January","Florida","Miami","e-Fashion Miami Sundance","Accessories","Hair accessories","2423.8","14","789.4"
"2014","1","January","Florida","Miami","e-Fashion Miami Sundance","Accessories","Hats,gloves,scarves","4750.4","35","2222.9"
"2014","1","January","Florida","Miami","e-Fashion Miami Sundance","Accessories","Jewelry","5594.4","45","2184.2"
"2014","1","January","Florida","Miami","e-Fashion Miami Sundance","City Skirts","Full length","528.6","3","248.6"
"2014","1","January","Florida","Miami","e-Fashion Miami Sundance","City Trousers","Bermudas","346.2","2","147.4"
"2014","1","January","Florida","Miami","e-Fashion Miami Sundance","Dresses","Casual dresses","599.1","6","-62"
"2014","1","January","Florida","Miami","e-Fashion Miami Sundance","Dresses","Evening wear","2674.7","22","1189.9"
"2014","1","January","Florida","Miami","e-Fashion Miami Sundance","Dresses","Sweater dresses","544.2","6","87.5"
"2014","1","January","Florida","Miami","e-Fashion Miami Sundance","Jackets","Boatwear","136.5","1","63.3"
"2014","1","January","Florida","Miami","e-Fashion Miami Sundance","Leather","Shirts","456.2","2","239.8"
"2014","1","January","Florida","Miami","e-Fashion Miami Sundance","Overcoats","Dry wear","154.8","1","51.6"
"2014","1","January","Florida","Miami","e-Fashion Miami Sundance","Overcoats","Wet wear","337.1","2","130.8"
"2014","1","January","Florida","Miami","e-Fashion Miami Sundance","Shirt Waist","2 Pocket shirts","729.2","4","314.3"
"2014","1","January","Florida","Miami","e-Fashion Miami Sundance","Shirt Waist","Long sleeve","1512.8","14","560.7"
"2014","1","January","Florida","Miami","e-Fashion Miami Sundance","Shirt Waist","Short sleeve","1896.1","11","1027.3"
"2014","1","January","Florida","Miami","e-Fashion Miami Sundance","Sweaters","Cardigan","2194","13","1002.4"
"2014","1","January","Florida","Miami","e-Fashion Miami Sundance","Sweaters","Soft fabric","182.3","1","94.3"
"2014","1","January","Florida","Miami","e-Fashion Miami Sundance","Sweaters","Turtleneck","337.1","2","68.8"
"2014","1","January","Florida","Miami","e-Fashion Miami Sundance","Sweat-T-Shirts","T-Shirts","23697.4","144","11367.5"
"2014","1","January","Florida","Miami","e-Fashion Miami Sundance","Trousers","Jeans","268.8","2","55"
"2014","1","January","Illinois","Chicago","e-Fashion Chicago 33rd","Accessories","Belts,bags,wallets","9653","72","4100.9"
"2014","1","January","Illinois","Chicago","e-Fashion Chicago 33rd","Accessories","Hair accessories","2826.9","14","1077.4"
"2014","1","January","Illinois","Chicago","e-Fashion Chicago 33rd","Accessories","Hats,gloves,scarves","11443.7","81","5888.7"
"2014","1","January","Illinois","Chicago","e-Fashion Chicago 33rd","Accessories","Jewelry","9815.3","66","3869.5"
"2014","1","January","Illinois","Chicago","e-Fashion Chicago 33rd","Accessories","Lounge wear","973.7","7","315.5"
"2014","1","January","Illinois","Chicago","e-Fashion Chicago 33rd","City Trousers","Bermudas","354.6","3","56.4"
"2014","1","January","Illinois","Chicago","e-Fashion Chicago 33rd","City Trousers","Long lounge pants","464.4","3","216.3"
"2014","1","January","Illinois","Chicago","e-Fashion Chicago 33rd","Dresses","Casual dresses","254.7","2","30.1"
"2014","1","January","Illinois","Chicago","e-Fashion Chicago 33rd","Dresses","Evening wear","6982.6","58","3080.5"
"2014","1","January","Illinois","Chicago","e-Fashion Chicago 33rd","Dresses","Sweater dresses","453.5","5","72.6"
"2014","1","January","Illinois","Chicago","e-Fashion Chicago 33rd","Jackets","Boatwear","409.5","3","189.9"
"2014","1","January","Illinois","Chicago","e-Fashion Chicago 33rd","Jackets","Fancy fabric","1276","7","629.4"
"2014","1","January","Illinois","Chicago","e-Fashion Chicago 33rd","Jackets","Outdoor","1530.7","9","669.7"
"2014","1","January","Illinois","Chicago","e-Fashion Chicago 33rd","Leather","Shirts","1759.2","10","681.8"
"2014","1","January","Illinois","Chicago","e-Fashion Chicago 33rd","Outerwear","Day wear","72.4","1","7.7"
"2014","1","January","Illinois","Chicago","e-Fashion Chicago 33rd","Outerwear","Hats,gloves,scarves","163.1","2","52.7"
"2014","1","January","Illinois","Chicago","e-Fashion Chicago 33rd","Outerwear","Night wear","154.8","1","42.9"
"2014","1","January","Illinois","Chicago","e-Fashion Chicago 33rd","Overcoats","Dry wear","636.7","5","143.3"
"2014","1","January","Illinois","Chicago","e-Fashion Chicago 33rd","Overcoats","Wet wear","182.3","1","72.4"
"2014","1","January","Illinois","Chicago","e-Fashion Chicago 33rd","Shirt Waist","2 Pocket shirts","3828.1","21","1651.5"
"2014","1","January","Illinois","Chicago","e-Fashion Chicago 33rd","Shirt Waist","Long sleeve","4374.2","30","1847.9"
"2014","1","January","Illinois","Chicago","e-Fashion Chicago 33rd","Shirt Waist","Short sleeve","5740.7","33","2958.7"
"2014","1","January","Illinois","Chicago","e-Fashion Chicago 33rd","Sweaters","Cardigan","11470.6","69","5217.7"
"2014","1","January","Illinois","Chicago","e-Fashion Chicago 33rd","Sweaters","Turtleneck","1130.4","7","234.5"
"2014","1","January","Illinois","Chicago","e-Fashion Chicago 33rd","Sweat-T-Shirts","T-Shirts","25851.6","159","12449.8"
"2014","1","January","Illinois","Chicago","e-Fashion Chicago 33rd","Trousers","Jeans","182.3","1","75.4"
"2014","1","January","Massachusetts","Boston","e-Fashion Boston Newbury","Accessories","Belts,bags,wallets","673.2","5","279.7"
"2014","1","January","Massachusetts","Boston","e-Fashion Boston Newbury","Accessories","Hair accessories","2051.8","10","839.4"
"2014","1","January","Massachusetts","Boston","e-Fashion Boston Newbury","City Skirts","Full length","154.8","1","57.6"
"2014","1","January","Massachusetts","Boston","e-Fashion Boston Newbury","City Trousers","Bermudas","118.2","1","18.9"
"2014","1","January","Massachusetts","Boston","e-Fashion Boston Newbury","Dresses","Evening wear","4583.7","38","2028.5"
"2014","1","January","Massachusetts","Boston","e-Fashion Boston Newbury","Dresses","Sweater dresses","544.1","6","85.8"
"2014","1","January","Massachusetts","Boston","e-Fashion Boston Newbury","Jackets","Boatwear","273","2","125"
"2014","1","January","Massachusetts","Boston","e-Fashion Boston Newbury","Jackets","Outdoor","628.4","4","257.9"
"2014","1","January","Massachusetts","Boston","e-Fashion Boston Newbury","Shirt Waist","2 Pocket shirts","1322.8","6","669.8"
"2014","1","January","Massachusetts","Boston","e-Fashion Boston Newbury","Shirt Waist","Long sleeve","3169.5","20","1485.7"
"2014","1","January","Massachusetts","Boston","e-Fashion Boston Newbury","Shirt Waist","Short sleeve","3462.6","20","1869.9"
"2014","1","January","Massachusetts","Boston","e-Fashion Boston Newbury","Sweaters","Cardigan","182.3","1","87.6"
"2014","1","January","Massachusetts","Boston","e-Fashion Boston Newbury","Sweaters","Soft fabric","364.6","2","187.7"
"2014","1","January","Massachusetts","Boston","e-Fashion Boston Newbury","Sweaters","Turtleneck","701.7","4","164.7"
"2014","1","January","Massachusetts","Boston","e-Fashion Boston Newbury","Sweat-T-Shirts","T-Shirts","20384.6","115","10270.9"
"2014","1","January","Massachusetts","Boston","e-Fashion Boston Newbury","Trousers","Jeans","182.3","1","74.4"
"2014","1","January","New York","New York","e-Fashion New York 5th","Accessories","Belts,bags,wallets","9605.3","72","4030"
"2014","1","January","New York","New York","e-Fashion New York 5th","Accessories","Hair accessories","546.9","3","206.9"
"2014","1","January","New York","New York","e-Fashion New York 5th","Accessories","Hats,gloves,scarves","12000.7","86","6044.1"
"2014","1","January","New York","New York","e-Fashion New York 5th","Accessories","Jewelry","14755.9","112","5706.5"
"2014","1","January","New York","New York","e-Fashion New York 5th","Accessories","Lounge wear","273","2","100"
"2014","1","January","New York","New York","e-Fashion New York 5th","City Skirts","Full length","182.3","1","95.2"
"2014","1","January","New York","New York","e-Fashion New York 5th","City Skirts","Mini city","247.3","2","73.6"
"2014","1","January","New York","New York","e-Fashion New York 5th","City Trousers","Bermudas","472.7","4","75.3"
"2014","1","January","New York","New York","e-Fashion New York 5th","City Trousers","Long lounge pants","309.6","2","144.5"
"2014","1","January","New York","New York","e-Fashion New York 5th","Dresses","Casual dresses","1210.1","10","55.9"
"2014","1","January","New York","New York","e-Fashion New York 5th","Dresses","Evening wear","5347.8","44","2398.6"
"2014","1","January","New York","New York","e-Fashion New York 5th","Dresses","Sweater dresses","336.2","3","106.7"
"2014","1","January","New York","New York","e-Fashion New York 5th","Jackets","Outdoor","729.2","4","340.4"
"2014","1","January","New York","New York","e-Fashion New York 5th","Leather","Shirts","911.4","5","373"
"2014","1","January","New York","New York","e-Fashion New York 5th","Outerwear","Night wear","228.1","1","122.7"
"2014","1","January","New York","New York","e-Fashion New York 5th","Overcoats","Dry wear","637.6","4","275.4"
"2014","1","January","New York","New York","e-Fashion New York 5th","Overcoats","Wet wear","601.9","3","308"
"2014","1","January","New York","New York","e-Fashion New York 5th","Shirt Waist","2 Pocket shirts","3372.9","18","1489.8"
"2014","1","January","New York","New York","e-Fashion New York 5th","Shirt Waist","Long sleeve","4025.1","26","1882.6"
"2014","1","January","New York","New York","e-Fashion New York 5th","Shirt Waist","Short sleeve","4382","26","2308.8"
"2014","1","January","New York","New York","e-Fashion New York 5th","Sweaters","Cardigan","3241.1","22","1230.1"
"2014","1","January","New York","New York","e-Fashion New York 5th","Sweaters","Soft fabric","154.8","1","65.9"
"2014","1","January","New York","New York","e-Fashion New York 5th","Sweaters","Turtleneck","464.4","3","62.3"
"2014","1","January","New York","New York","e-Fashion New York 5th","Sweat-T-Shirts","T-Shirts","13478","78","6915.2"
"2014","1","January","New York","New York","e-Fashion New York 5th","Trousers","Jeans","364.6","2","153"
"2014","1","January","New York","New York","e-Fashion New York Magnolia","Accessories","Belts,bags,wallets","11549","86","4862.4"
"2014","1","January","New York","New York","e-Fashion New York Magnolia","Accessories","Hair accessories","4492.3","26","1353.3"
"2014","1","January","New York","New York","e-Fashion New York Magnolia","Accessories","Hats,gloves,scarves","19846","132","10446.4"
"2014","1","January","New York","New York","e-Fashion New York Magnolia","Accessories","Jewelry","19846.2","155","7461.6"
"2014","1","January","New York","New York","e-Fashion New York Magnolia","Accessories","Lounge wear","1209.2","10","296.6"
"2014","1","January","New York","New York","e-Fashion New York Magnolia","City Skirts","Full length","491.9","3","187.8"
"2014","1","January","New York","New York","e-Fashion New York Magnolia","City Trousers","Bermudas","690.7","6","93.8"
"2014","1","January","New York","New York","e-Fashion New York Magnolia","City Trousers","Long lounge pants","1201.8","8","539"
"2014","1","January","New York","New York","e-Fashion New York Magnolia","Dresses","Casual dresses","709","6","31.2"
"2014","1","January","New York","New York","e-Fashion New York Magnolia","Dresses","Evening wear","4940","40","2246"
"2014","1","January","New York","New York","e-Fashion New York Magnolia","Dresses","Sweater dresses","1046.1","8","433.1"
"2014","1","January","New York","New York","e-Fashion New York Magnolia","Jackets","Boatwear","1055.3","8","465.3"
"2014","1","January","New York","New York","e-Fashion New York Magnolia","Jackets","Outdoor","1430.9","8","657.5"
"2014","1","January","New York","New York","e-Fashion New York Magnolia","Leather","Pants","182.3","1","103.7"
"2014","1","January","New York","New York","e-Fashion New York Magnolia","Leather","Shirts","3928.8","21","1658.7"
"2014","1","January","New York","New York","e-Fashion New York Magnolia","Outerwear","Hats,gloves,scarves","362.7","4","141.8"
"2014","1","January","New York","New York","e-Fashion New York Magnolia","Outerwear","Night wear","519.4","3","175.7"
"2014","1","January","New York","New York","e-Fashion New York Magnolia","Overcoats","Dry wear","611","4","249.4"
"2014","1","January","New York","New York","e-Fashion New York Magnolia","Overcoats","Wet wear","556","4","124.6"
"2014","1","January","New York","New York","e-Fashion New York Magnolia","Shirt Waist","2 Pocket shirts","3873.9","21","1615.8"
"2014","1","January","New York","New York","e-Fashion New York Magnolia","Shirt Waist","Long sleeve","5248.3","42","2134.5"
"2014","1","January","New York","New York","e-Fashion New York Magnolia","Shirt Waist","Short sleeve","6924","41","3398.1"
"2014","1","January","New York","New York","e-Fashion New York Magnolia","Sweaters","Cardigan","10720.9","64","4879.6"
"2014","1","January","New York","New York","e-Fashion New York Magnolia","Sweaters","Soft fabric","1083.6","7","495.5"
"2014","1","January","New York","New York","e-Fashion New York Magnolia","Sweaters","Turtleneck","3079.7","18","710.7"
"2014","1","January","New York","New York","e-Fashion New York Magnolia","Sweat-T-Shirts","T-Shirts","36863.4","211","18566.8"
"2014","1","January","New York","New York","e-Fashion New York Magnolia","Trousers","Jeans","1767.9","10","703.6"
"2014","1","January","New York","New York","e-Fashion New York Magnolia","Trousers","Party pants","364.6","2","201.6"
"2014","1","January","Texas","Austin","e-Fashion Austin","Accessories","Belts,bags,wallets","10675.9","79","4640.9"
"2014","1","January","Texas","Austin","e-Fashion Austin","Accessories","Hair accessories","775","4","309.1"
"2014","1","January","Texas","Austin","e-Fashion Austin","Accessories","Hats,gloves,scarves","9086","64","4528.2"
"2014","1","January","Texas","Austin","e-Fashion Austin","Accessories","Jewelry","14903.1","151","3590.3"
"2014","1","January","Texas","Austin","e-Fashion Austin","Accessories","Lounge wear","609.2","5","232.7"
"2014","1","January","Texas","Austin","e-Fashion Austin","City Skirts","Full length","182.3","1","84.9"
"2014","1","January","Texas","Austin","e-Fashion Austin","City Trousers","Bermudas","118.2","1","17.8"
"2014","1","January","Texas","Austin","e-Fashion Austin","City Trousers","Long lounge pants","354.5","3","108.6"
"2014","1","January","Texas","Austin","e-Fashion Austin","Dresses","Casual dresses","1418","12","-0.2"
"2014","1","January","Texas","Austin","e-Fashion Austin","Dresses","Evening wear","6071.4","46","2970.1"
"2014","1","January","Texas","Austin","e-Fashion Austin","Jackets","Boatwear","273","2","125.8"
"2014","1","January","Texas","Austin","e-Fashion Austin","Jackets","Fancy fabric","182.3","1","89.9"
"2014","1","January","Texas","Austin","e-Fashion Austin","Jackets","Outdoor","154.8","1","54.4"
"2014","1","January","Texas","Austin","e-Fashion Austin","Leather","Shirts","546.9","3","223.6"
"2014","1","January","Texas","Austin","e-Fashion Austin","Outerwear","Night wear","182.3","1","27"
"2014","1","January","Texas","Austin","e-Fashion Austin","Overcoats","Dry wear","97.3","1","11.2"
"2014","1","January","Texas","Austin","e-Fashion Austin","Shirt Waist","2 Pocket shirts","382.9","2","141.5"
"2014","1","January","Texas","Austin","e-Fashion Austin","Shirt Waist","Long sleeve","4882.5","33","2262.6"
"2014","1","January","Texas","Austin","e-Fashion Austin","Shirt Waist","Short sleeve","4520.5","25","2457.6"
"2014","1","January","Texas","Austin","e-Fashion Austin","Sweaters","Cardigan","7119.1","54","2180"
"2014","1","January","Texas","Austin","e-Fashion Austin","Sweaters","Soft fabric","364.6","2","189"
"2014","1","January","Texas","Austin","e-Fashion Austin","Sweaters","Turtleneck","509.3","4","109.8"
"2014","1","January","Texas","Austin","e-Fashion Austin","Sweat-T-Shirts","Sweats","154.8","1","68.2"
"2014","1","January","Texas","Austin","e-Fashion Austin","Sweat-T-Shirts","T-Shirts","18153.6","114","9214.7"
"2014","1","January","Texas","Austin","e-Fashion Austin","Trousers","Jeans","619.2","4","191.6"
"2014","1","January","Texas","Dallas","e-Fashion Dallas","Accessories","Belts,bags,wallets","5681.9","45","2040.2"
"2014","1","January","Texas","Dallas","e-Fashion Dallas","Accessories","Hair accessories","1322.8","6","601.9"
"2014","1","January","Texas","Dallas","e-Fashion Dallas","Accessories","Hats,gloves,scarves","7537.3","57","3081"
"2014","1","January","Texas","Dallas","e-Fashion Dallas","Accessories","Jewelry","6448.3","50","2125.2"
"2014","1","January","Texas","Dallas","e-Fashion Dallas","Accessories","Lounge wear","299.6","3","150.8"
"2014","1","January","Texas","Dallas","e-Fashion Dallas","City Skirts","Full length","182.3","1","84.9"
"2014","1","January","Texas","Dallas","e-Fashion Dallas","City Skirts","Mini city","90.7","1","88.9"
"2014","1","January","Texas","Dallas","e-Fashion Dallas","City Trousers","Long lounge pants","154.8","1","72.3"
"2014","1","January","Texas","Dallas","e-Fashion Dallas","Dresses","Casual dresses","657.9","6","-2.2"
"2014","1","January","Texas","Dallas","e-Fashion Dallas","Dresses","Evening wear","3390.3","28","1522.4"
"2014","1","January","Texas","Dallas","e-Fashion Dallas","Dresses","Sweater dresses","707.7","8","98.1"
